store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,ML0426KAP0001324,2026-05-31T12:52:00Z,397.38
STORE_BLR_002,ML0426KAP0001346,2026-05-31T13:00:00Z,599
STORE_BLR_002,ML0426KAP0001403,2026-05-31T13:08:00Z,99
STORE_BLR_002,ML0426KAP0001324,2026-05-31T13:16:00Z,445.5
STORE_BLR_002,ML0426KAP0001358,2026-05-31T13:24:00Z,273.67
STORE_BLR_002,ML0426KAP0001340,2026-05-31T13:32:00Z,314.8
STORE_BLR_002,ML0426KAP0001399,2026-05-31T13:40:00Z,1221.65
STORE_BLR_002,ML0426KAP0001366,2026-05-31T13:48:00Z,299
STORE_BLR_002,ML0426KAP0001333,2026-05-31T13:56:00Z,49.5
STORE_BLR_002,ML0426KAP0001358,2026-05-31T14:04:00Z,249
STORE_BLR_002,ML0426KAP0001324,2026-05-31T14:12:00Z,216.42
STORE_BLR_002,ML0426KAP0001393,2026-05-31T14:20:00Z,0
STORE_BLR_002,ML0426KAP0001333,2026-05-31T14:28:00Z,49.5
STORE_BLR_002,ML0426KAP0001353,2026-05-31T14:36:00Z,1278
STORE_BLR_002,ML0426KAP0001324,2026-05-31T14:44:00Z,1085.03
STORE_BLR_002,ML0426KAP0001399,2026-05-31T14:52:00Z,99
STORE_BLR_002,ML0426KAP0001374,2026-05-31T15:00:00Z,198
STORE_BLR_002,ML0426KAP0001324,2026-05-31T15:08:00Z,172.8
STORE_BLR_002,ML0426KAP0001418,2026-05-31T15:16:00Z,0
STORE_BLR_002,ML0426KAP0001401,2026-05-31T15:24:00Z,765
STORE_BLR_002,ML0426KAP0001403,2026-05-31T15:32:00Z,49.5
STORE_BLR_002,ML0426KAP0001347,2026-05-31T15:40:00Z,0
STORE_BLR_002,ML0426KAP0001358,2026-05-31T15:48:00Z,188.62
STORE_BLR_002,ML0426KAP0001369,2026-05-31T15:56:00Z,215.67
STORE_BLR_002,ML0426KAP0001324,2026-05-31T16:04:00Z,288.81
STORE_BLR_002,ML0426KAP0001369,2026-05-31T16:12:00Z,237.31
STORE_BLR_002,ML0426KAP0001358,2026-05-31T16:20:00Z,350
STORE_BLR_002,ML0426KAP0001369,2026-05-31T16:28:00Z,179.6
STORE_BLR_002,ML0426KAP0001438,2026-05-31T16:36:00Z,269.1
STORE_BLR_002,ML0426KAP0001399,2026-05-31T16:44:00Z,599
STORE_BLR_002,ML0426KAP0001384,2026-05-31T16:52:00Z,615.09
STORE_BLR_002,ML0426KAP0001399,2026-05-31T17:00:00Z,569.67
STORE_BLR_002,ML0426KAP0001408,2026-05-31T17:08:00Z,313.64
STORE_BLR_002,ML0426KAP0001324,2026-05-31T17:16:00Z,315
STORE_BLR_002,ML0426KAP0001324,2026-05-31T17:24:00Z,325
STORE_BLR_002,ML0426KAP0001393,2026-05-31T17:32:00Z,299.76
STORE_BLR_002,ML0426KAP0001340,2026-05-31T17:40:00Z,255.34
STORE_BLR_002,ML0426KAP0001393,2026-05-31T17:48:00Z,933.34
STORE_BLR_002,ML0426KAP0001393,2026-05-31T17:56:00Z,299.76
STORE_BLR_002,ML0426KAP0001401,2026-05-31T18:04:00Z,99
STORE_BLR_002,ML0426KAP0001399,2026-05-31T18:12:00Z,0
STORE_BLR_002,ML0426KAP0001321,2026-05-31T18:20:00Z,491.77
STORE_BLR_002,ML0426KAP0001358,2026-05-31T18:28:00Z,240.06
STORE_BLR_002,ML0426KAP0001324,2026-05-31T18:36:00Z,90
STORE_BLR_002,ML0426KAP0001369,2026-05-31T18:44:00Z,287.8
STORE_BLR_002,ML0426KAP0001443,2026-05-31T18:52:00Z,427.5
STORE_BLR_002,ML0426KAP0001403,2026-05-31T19:00:00Z,1305
STORE_BLR_002,ML0426KAP0001372,2026-05-31T19:08:00Z,149
STORE_BLR_002,ML0426KAP0001353,2026-05-31T19:16:00Z,1
STORE_BLR_002,ML0426KAP0001353,2026-05-31T19:24:00Z,553.17
STORE_BLR_002,ML0426KAP0001408,2026-05-31T19:32:00Z,121.5
STORE_BLR_002,ML0426KAP0001324,2026-05-31T19:40:00Z,614.54
STORE_BLR_002,ML0426KAP0001324,2026-05-31T19:48:00Z,321
STORE_BLR_002,ML0426KAP0001399,2026-05-31T19:56:00Z,172.8
STORE_BLR_002,ML0426KAP0001324,2026-05-31T20:04:00Z,275
STORE_BLR_002,ML0426KAP0001358,2026-05-31T20:12:00Z,291.5
STORE_BLR_002,ML0426KAP0001324,2026-05-31T20:20:00Z,578.34
STORE_BLR_002,ML0426KAP0001324,2026-05-31T20:28:00Z,198
STORE_BLR_002,ML0426KAP0001324,2026-05-31T20:36:00Z,90
STORE_BLR_002,ML0426KAP0001324,2026-05-31T20:44:00Z,0
STORE_BLR_002,ML0426KAP0001324,2026-05-31T20:52:00Z,578.34
STORE_BLR_002,ML0426KAP0001324,2026-05-31T21:00:00Z,249
STORE_BLR_002,ML0426KAP0001408,2026-05-31T21:08:00Z,721.65
STORE_BLR_002,ML0426KAP0001418,2026-05-31T21:16:00Z,449.37
STORE_BLR_002,ML0426KAP0001403,2026-05-31T21:24:00Z,49.5
STORE_BLR_002,ML0426KAP0001399,2026-05-31T21:32:00Z,406.67
STORE_BLR_002,ML0426KAP0001336,2026-05-31T21:40:00Z,199
STORE_BLR_002,ML0426KAP0001340,2026-05-31T21:48:00Z,244.84
STORE_BLR_002,ML0426KAP0001324,2026-05-31T21:56:00Z,321.38
STORE_BLR_002,ML0426KAP0001321,2026-05-31T22:04:00Z,453.88
STORE_BLR_002,ML0426KAP0001393,2026-05-31T22:12:00Z,296.43
STORE_BLR_002,ML0426KAP0001369,2026-05-31T22:20:00Z,359.93
